3200K Tungsten Simulation - 'Intense' Saturation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
558, 0.11336
559, 0.10793
560, 0.10269
561, 0.09727
562, 0.09250
563, 0.08872
564, 0.08473
565, 0.08138
566, 0.07870
567, 0.07711
568, 0.07635
569, 0.07561
570, 0.07659
571, 0.07762
572, 0.08008
573, 0.08344
574, 0.08743
575, 0.09357
576, 0.09975
577, 0.10697
578, 0.11527
579, 0.12526
580, 0.13729
581, 0.14992
582, 0.16473
583, 0.18117
584, 0.20112
585, 0.22217
586, 0.24641
587, 0.27278
588, 0.29656
589, 0.31909
590, 0.33088
591, 0.33327
592, 0.32084
593, 0.29701
594, 0.26231
595, 0.22732
596, 0.19419
597, 0.16561
598, 0.14452
599, 0.12901
600, 0.11711
601, 0.10895
602, 0.10416
603, 0.10015
604, 0.09927
605, 0.09832
606, 0.10097
607, 0.10356
608, 0.10816
609, 0.11391
610, 0.12044
611, 0.12918
612, 0.13935
613, 0.15065
614, 0.16308
615, 0.17597
616, 0.19304
617, 0.20899
618, 0.22736
619, 0.24823
620, 0.27207
621, 0.29822
622, 0.33020
623, 0.36327
624, 0.40176
625, 0.44461
626, 0.49409
627, 0.54661
628, 0.60121
629, 0.66133
630, 0.72152
631, 0.78236
632, 0.83928
633, 0.89345
634, 0.94123
635, 0.97665
636, 0.99621
637, 1.00000
638, 0.97520
639, 0.92740
640, 0.85465
641, 0.76395
642, 0.66629
643, 0.56932
644, 0.47991
645, 0.39930
646, 0.33380
647, 0.27914
648, 0.23475
649, 0.19785
650, 0.16700
651, 0.14189
652, 0.12043
653, 0.10150
654, 0.08655
655, 0.07338
656, 0.06226
657, 0.05252
658, 0.04547
659, 0.03817
660, 0.03331
661, 0.02821
662, 0.02462
663, 0.02120
664, 0.01822
665, 0.01629
666, 0.01420
667, 0.01261
668, 0.01142
669, 0.00986
670, 0.00874
671, 0.00783
672, 0.00674
673, 0.00611
674, 0.00550
675, 0.00495
676, 0.00474
677, 0.00408
678, 0.00390
679, 0.00372
680, 0.00307
681, 0.00293
682, 0.00294
683, 0.00256
684, 0.00221
685, 0.00221
686, 0.00207
687, 0.00219
688, 0.00194
689, 0.00203
690, 0.00168
691, 0.00188
692, 0.00168
693, 0.00163
694, 0.00192
695, 0.00185
696, 0.00164
697, 0.00149
698, 0.00150
699, 0.00130
700, 0.00133
701, 0.00070
702, 0.00169
703, 0.00119
704, 0.00082
705, 0.00109
706, 0.00098
707, 0.00059
708, 0.00107
709, 0.00115
710, 0.00052
711, 0.00112
712, 0.00112
713, 0.00061
714, 0.00085
715, 0.00051
716, 0.00081
717, 0.00083
718, 0.00076
719, 0.00035
720, 0.00078
721, 0.00087
722, 0.00083
723, 0.00040
724, 0.00078
725, 0.00077
726, 0.00039
727, 0.00071
728, 0.00085
729, 0.00110
730, 0.00057
731, 0.00073
732, 0.00116
733, 0.00069
734, 0.00031
735, 0.00089
736, 0.00026
737, 0.00071
738, 0.00053
739, 0.00023
740, 0.00063
741, 0.00096
742, 0.00027
743, 0.00048
744, 0.00059
745, 0.00106
746, 0.00105
747, 0.00055
748, 0.00085
749, 0.00087
750, 0.00012
751, 0.00092
752, 0.00120
753, 0.00084
754, 0.00079
755, 0.00103
756, 0.00091
757, 0.00045
758, 0.00062
759, 0.00062
760, 0.00047
761, 0.00032
762, 0.00028
763, 0.00067
764, 0.00038
765, 0.00072
766, 0.00102
767, 0.00078
768, 0.00076
769, 0.00073
770, 0.00099
771, 0.00089
772, 0.00091
773, 0.00045
774, 0.00075
775, 0.00084
776, 0.00039
777, 0.00043
778, 0.00103
779, 0.00054
780, 0.00049
