5500K Daylight Simulation - 'Mild' Saturation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
558, 0.20451
559, 0.19288
560, 0.18332
561, 0.17455
562, 0.16601
563, 0.15850
564, 0.15100
565, 0.14608
566, 0.14153
567, 0.13852
568, 0.13548
569, 0.13423
570, 0.13539
571, 0.13790
572, 0.14067
573, 0.14641
574, 0.15304
575, 0.16284
576, 0.17430
577, 0.18575
578, 0.20038
579, 0.21795
580, 0.23679
581, 0.25911
582, 0.28234
583, 0.31177
584, 0.34470
585, 0.38072
586, 0.42096
587, 0.46755
588, 0.51049
589, 0.54377
590, 0.56490
591, 0.56663
592, 0.54573
593, 0.50168
594, 0.44301
595, 0.37973
596, 0.32287
597, 0.26986
598, 0.23247
599, 0.20196
600, 0.18007
601, 0.16137
602, 0.14891
603, 0.13958
604, 0.13298
605, 0.12790
606, 0.12545
607, 0.12529
608, 0.12694
609, 0.13050
610, 0.13586
611, 0.14242
612, 0.15219
613, 0.16122
614, 0.17342
615, 0.18662
616, 0.19935
617, 0.21572
618, 0.23580
619, 0.25726
620, 0.28066
621, 0.30787
622, 0.34176
623, 0.37521
624, 0.41527
625, 0.45923
626, 0.50908
627, 0.56231
628, 0.62035
629, 0.68110
630, 0.74155
631, 0.80324
632, 0.85889
633, 0.91078
634, 0.95435
635, 0.98549
636, 1.00000
637, 0.99407
638, 0.95998
639, 0.90102
640, 0.82325
641, 0.72813
642, 0.62652
643, 0.53327
644, 0.44539
645, 0.37192
646, 0.31092
647, 0.26009
648, 0.21793
649, 0.18439
650, 0.15599
651, 0.13272
652, 0.11064
653, 0.09584
654, 0.08146
655, 0.06928
656, 0.05821
657, 0.04934
658, 0.04225
659, 0.03558
660, 0.03077
661, 0.02664
662, 0.02334
663, 0.02071
664, 0.01746
665, 0.01553
666, 0.01328
667, 0.01114
668, 0.01076
669, 0.00982
670, 0.00877
671, 0.00719
672, 0.00649
673, 0.00669
674, 0.00583
675, 0.00520
676, 0.00454
677, 0.00434
678, 0.00385
679, 0.00400
680, 0.00320
681, 0.00334
682, 0.00333
683, 0.00239
684, 0.00289
685, 0.00217
686, 0.00291
687, 0.00295
688, 0.00231
689, 0.00239
690, 0.00269
691, 0.00227
692, 0.00209
693, 0.00240
694, 0.00212
695, 0.00200
696, 0.00249
697, 0.00215
698, 0.00246
699, 0.00185
700, 0.00202
701, 0.00199
702, 0.00153
703, 0.00217
704, 0.00182
705, 0.00186
706, 0.00150
707, 0.00152
708, 0.00164
709, 0.00169
710, 0.00142
711, 0.00118
712, 0.00189
713, 0.00118
714, 0.00130
715, 0.00176
716, 0.00150
717, 0.00140
718, 0.00187
719, 0.00192
720, 0.00045
721, 0.00106
722, 0.00156
723, 0.00091
724, 0.00139
725, 0.00109
726, 0.00107
727, 0.00067
728, 0.00093
729, 0.00052
730, 0.00060
731, 0.00011
732, 0.00162
733, 0.00071
734, 0.00129
735, 0.00087
736, 0.00091
737, 0.00062
738, 0.00111
739, 0.00166
740, 0.00078
741, 0.00076
742, 0.00058
743, 0.00151
744, 0.00188
745, 0.00022
746, 0.00087
747, 0.00117
748, 0.00082
749, 0.00112
750, 0.00035
751, 0.00062
752, 0.00068
753, 0.00087
754, 0.00007
755, 0.00143
756, 0.00037
757, 0.00047
758, 0.00093
759, 0.00064
760, 0.00021
761, 0.00007
762, 0.00100
763, 0.00061
764, 0.00102
765, 0.00082
766, 0.00076
767, 0.00084
768, 0.00176
769, 0.00068
770, 0.00109
771, 0.00156
772, 0.00120
773, 0.00062
774, 0.00134
775, 0.00112
776, 0.00146
777, 0.00046
778, 0.00069
779, 0.00054
780, 0.00069
