3200K Tungsten Simulation - 'Mild' Saturation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
558, 0.12781
559, 0.12096
560, 0.11540
561, 0.11004
562, 0.10537
563, 0.10127
564, 0.09799
565, 0.09545
566, 0.09353
567, 0.09332
568, 0.09434
569, 0.09571
570, 0.09823
571, 0.10360
572, 0.10866
573, 0.11633
574, 0.12536
575, 0.13540
576, 0.14799
577, 0.16257
578, 0.17842
579, 0.19723
580, 0.21784
581, 0.24060
582, 0.26553
583, 0.29596
584, 0.32966
585, 0.36828
586, 0.40808
587, 0.45296
588, 0.49701
589, 0.53378
590, 0.55964
591, 0.56550
592, 0.54575
593, 0.50624
594, 0.44760
595, 0.38499
596, 0.32605
597, 0.27389
598, 0.23357
599, 0.20202
600, 0.17812
601, 0.16084
602, 0.14725
603, 0.13749
604, 0.13131
605, 0.12655
606, 0.12360
607, 0.12342
608, 0.12429
609, 0.12861
610, 0.13348
611, 0.14024
612, 0.14810
613, 0.15871
614, 0.17030
615, 0.18327
616, 0.19852
617, 0.21434
618, 0.23289
619, 0.25406
620, 0.27644
621, 0.30358
622, 0.33449
623, 0.36946
624, 0.40736
625, 0.45196
626, 0.49968
627, 0.55355
628, 0.61071
629, 0.67145
630, 0.73311
631, 0.79062
632, 0.84810
633, 0.90036
634, 0.94661
635, 0.98097
636, 1.00000
637, 0.99803
638, 0.96908
639, 0.91860
640, 0.84079
641, 0.75023
642, 0.65258
643, 0.55364
644, 0.46429
645, 0.38867
646, 0.32351
647, 0.27046
648, 0.22821
649, 0.19202
650, 0.16179
651, 0.13795
652, 0.11701
653, 0.09889
654, 0.08283
655, 0.07144
656, 0.06027
657, 0.05131
658, 0.04342
659, 0.03712
660, 0.03203
661, 0.02691
662, 0.02362
663, 0.02075
664, 0.01790
665, 0.01529
666, 0.01388
667, 0.01226
668, 0.01111
669, 0.00956
670, 0.00849
671, 0.00756
672, 0.00685
673, 0.00609
674, 0.00538
675, 0.00518
676, 0.00448
677, 0.00418
678, 0.00383
679, 0.00356
680, 0.00310
681, 0.00310
682, 0.00317
683, 0.00240
684, 0.00236
685, 0.00230
686, 0.00271
687, 0.00223
688, 0.00200
689, 0.00189
690, 0.00214
691, 0.00211
692, 0.00193
693, 0.00238
694, 0.00168
695, 0.00137
696, 0.00157
697, 0.00175
698, 0.00212
699, 0.00129
700, 0.00116
701, 0.00116
702, 0.00110
703, 0.00141
704, 0.00107
705, 0.00105
706, 0.00077
707, 0.00104
708, 0.00146
709, 0.00099
710, 0.00081
711, 0.00074
712, 0.00073
713, 0.00085
714, 0.00093
715, 0.00070
716, 0.00091
717, 0.00080
718, 0.00036
719, 0.00103
720, 0.00050
721, 0.00095
722, 0.00093
723, 0.00116
724, 0.00092
725, 0.00038
726, 0.00074
727, 0.00051
728, 0.00066
729, 0.00052
730, 0.00089
731, 0.00086
732, 0.00065
733, 0.00129
734, 0.00111
735, 0.00125
736, 0.00073
737, 0.00041
738, 0.00116
739, 0.00081
740, 0.00148
741, 0.00137
742, 0.00133
743, 0.00047
744, 0.00128
745, 0.00142
746, 0.00155
747, 0.00102
748, 0.00118
749, 0.00061
750, 0.00054
751, 0.00160
752, 0.00069
753, 0.00103
754, 0.00090
755, 0.00124
756, 0.00117
757, 0.00125
758, 0.00088
759, 0.00153
760, 0.00134
761, 0.00104
762, 0.00138
763, 0.00102
764, 0.00118
765, 0.00099
766, 0.00093
767, 0.00095
768, 0.00069
769, 0.00043
770, 0.00079
771, 0.00101
772, 0.00013
773, 0.00045
774, 0.00105
775, 0.00030
776, 0.00124
777, 0.00043
778, 0.00107
779, 0.00010
780, 0.00082
