5500K Daylight Simulation - 'Bad' CRI
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
558, 0.15613
559, 0.14903
560, 0.14265
561, 0.13769
562, 0.13240
563, 0.12874
564, 0.12593
565, 0.12367
566, 0.12386
567, 0.12550
568, 0.12851
569, 0.13422
570, 0.14156
571, 0.15081
572, 0.16363
573, 0.17846
574, 0.19518
575, 0.21604
576, 0.23895
577, 0.26652
578, 0.29428
579, 0.32919
580, 0.36667
581, 0.40764
582, 0.45469
583, 0.50544
584, 0.56590
585, 0.63263
586, 0.70808
587, 0.78801
588, 0.86844
589, 0.93644
590, 0.98596
591, 1.00000
592, 0.97552
593, 0.90678
594, 0.80591
595, 0.69125
596, 0.57643
597, 0.47759
598, 0.39559
599, 0.33122
600, 0.27965
601, 0.23886
602, 0.20556
603, 0.18001
604, 0.15813
605, 0.14005
606, 0.12401
607, 0.11088
608, 0.10003
609, 0.09262
610, 0.08637
611, 0.08163
612, 0.07969
613, 0.07749
614, 0.07840
615, 0.07876
616, 0.08146
617, 0.08435
618, 0.08813
619, 0.09419
620, 0.09992
621, 0.10818
622, 0.11674
623, 0.12857
624, 0.14036
625, 0.15433
626, 0.17004
627, 0.18582
628, 0.20501
629, 0.22330
630, 0.24212
631, 0.26021
632, 0.27842
633, 0.29355
634, 0.30556
635, 0.31411
636, 0.31608
637, 0.31148
638, 0.29628
639, 0.27555
640, 0.24768
641, 0.21672
642, 0.18432
643, 0.15651
644, 0.12923
645, 0.10852
646, 0.09063
647, 0.07618
648, 0.06418
649, 0.05379
650, 0.04627
651, 0.03923
652, 0.03350
653, 0.02845
654, 0.02383
655, 0.02035
656, 0.01803
657, 0.01541
658, 0.01309
659, 0.01193
660, 0.01017
661, 0.00895
662, 0.00786
663, 0.00667
664, 0.00602
665, 0.00536
666, 0.00484
667, 0.00420
668, 0.00394
669, 0.00425
670, 0.00333
671, 0.00325
672, 0.00206
673, 0.00289
674, 0.00223
675, 0.00205
676, 0.00206
677, 0.00216
678, 0.00180
679, 0.00196
680, 0.00205
681, 0.00176
682, 0.00203
683, 0.00153
684, 0.00199
685, 0.00155
686, 0.00172
687, 0.00161
688, 0.00206
689, 0.00137
690, 0.00138
691, 0.00131
692, 0.00167
693, 0.00160
694, 0.00135
695, 0.00122
696, 0.00140
697, 0.00117
698, 0.00157
699, 0.00083
700, 0.00074
701, 0.00201
702, 0.00069
703, 0.00092
704, 0.00129
705, 0.00126
706, 0.00114
707, 0.00081
708, 0.00116
709, 0.00160
710, 0.00121
711, 0.00151
712, 0.00111
713, 0.00145
714, 0.00100
715, 0.00064
716, 0.00134
717, 0.00084
718, 0.00005
719, 0.00116
720, 0.00118
721, 0.00059
722, 0.00096
723, 0.00089
724, 0.00132
725, 0.00016
726, 0.00047
727, 0.00074
728, 0.00116
729, 0.00053
730, 0.00110
731, 0.00081
732, 0.00074
733, 0.00093
734, 0.00078
735, 0.00039
736, 0.00098
737, 0.00077
738, 0.00061
739, 0.00072
740, 0.00016
741, -0.00011
742, 0.00075
743, 0.00044
744, 0.00119
745, 0.00070
746, 0.00078
747, 0.00056
748, 0.00043
749, 0.00059
750, 0.00037
751, 0.00029
752, 0.00043
753, 0.00076
754, 0.00045
755, 0.00025
756, 0.00092
757, 0.00050
758, 0.00017
759, 0.00098
760, 0.00083
761, 0.00087
762, 0.00024
763, 0.00081
764, 0.00010
765, -0.00012
766, 0.00094
767, 0.00059
768, 0.00042
769, 0.00025
770, 0.00089
771, 0.00065
772, 0.00084
773, 0.00064
774, 0.00041
775, 0.00050
776, -0.00013
777, -0.00008
778, -0.00031
779, -0.00029
780, -0.00027
